path	existing_role	current_authority_status	current_permitted_use	superseded_by	conflict_type	public_release_eligible	notes
manifests/datasets_v6.tsv	DATASET_REGISTRY	CURRENT_AUTHORITATIVE	dataset identity, scope and limitations		classification	YES	GSE231906 controlling classification is DETECTION_CONTEXT_ONLY
manifests/output_authority_v6.tsv	OUTPUT_AUTHORITY	CURRENT_AUTHORITATIVE	output status and permitted scientific use		authority	YES	Unresolved, stale and mislabeled rows remain non-authoritative
manifests/claim_registry_v6.tsv	CLAIM_REGISTRY	CURRENT_AUTHORITATIVE	partial current claim authority		claim authority	YES	Supersedes overlapping v5.6 claim rows
reports/GSE231906_INTEGRITY_GATE_v6.md	INTEGRITY_REPORT	CURRENT_AUTHORITATIVE	integrity-gate interpretation and limitations		numerical lineage	YES	Strict v6 integrity report
results/tables/gse231906_barcode_join_audit_v6.tsv	JOIN_AUDIT	CURRENT_AUTHORITATIVE	strict exact unit-scoped join evidence		legacy match count and permissive unit scope	YES	Source for 387762 of 590533 and 0.656631
results/tables/gse231906_barcode_join_failures_v6.tsv	FAILURE_LEDGER	CURRENT_AUTHORITATIVE	supporting join-failure and duplicate audit		join ambiguity and leakage	CONDITIONAL	Large supporting table; release inclusion requires explicit manifest decision
results/tables/gse231906_identity_mapping_v6.tsv	IDENTITY_MAP	CURRENT_AUTHORITATIVE	provisional sample-unit identity audit		person or donor identity	YES	Probable stems only; no independent persons
results/tables/gse231906_identity_summary_v6.tsv	IDENTITY_SUMMARY	CURRENT_AUTHORITATIVE	identity limitation summary		person or donor identity	YES	High-confidence persons remain zero
results/tables/gse231906_matrix_semantics_v6.tsv	MATRIX_SEMANTICS	CURRENT_AUTHORITATIVE	matrix-semantic limitation evidence		raw-count or mean-expression semantics	YES	COUNT_LIKE_PROBABLE only
results/tables/gse231906_unit_ledger_v6.tsv	UNIT_LEDGER	CURRENT_AUTHORITATIVE	unit coverage and completeness		cross-unit identity	YES	59 sample/library units
results/tables/gse231906_loxfamily_detection_by_unit_sample_v6.tsv	DETECTION_ENDPOINT	CURRENT_AUTHORITATIVE	detection among uniquely joined barcodes within units		donor-level or cross-unit inference	YES	Only authoritative cross-unit endpoint
results/tables/gse231906_loxfamily_mean_within_unit_descriptive_only_cross_unit_not_allowed_donor_inference_not_allowed_v6.tsv	DESCRIPTIVE_MEAN_ENDPOINT	CURRENT_AUTHORITATIVE	descriptive within-unit values only		cross-unit mean comparison	CONDITIONAL	No donor inference or cross-unit comparison
scripts/run_phase0_gse231906_integrity_gate.py	INTEGRITY_IMPLEMENTATION	SUPPORTING_IMPLEMENTATION	static lineage and future separately authorized gate execution		legacy join implementation	CONDITIONAL	Do not execute against real data in this phase
tests/test_phase0_gse231906_integrity_gate.py	ACCEPTANCE_TEST	SUPPORTING_IMPLEMENTATION	static output acceptance checks		test scope	CONDITIONAL	Reads committed real output tables; not run in recovery phase
manuscript/LOX_thymus_aging_public_preprint_v5_6_gse231906_human_context.md	AUTHORITATIVE_MANUSCRIPT	CURRENT_AUTHORITATIVE	public narrative restricted to detection context		narrative scope	YES	Subject to release-manifest checksum and final freeze
manuscript/pdf/LOX_thymus_aging_public_preprint_v5_6_gse231906_human_context.pdf	AUTHORITATIVE_RENDERING	CURRENT_AUTHORITATIVE	rendering of authoritative manuscript		narrative scope	YES	Subject to release-manifest checksum
