gene	donor_id	samples	age_development	sex	cell_types_epith	n_cells	mean_value	median_value	nonzero_mean_value	matrix_used	value_semantics_label	not_generated_reason
LOX	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	cTEC hi	2469				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOX	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	cTEC lo	2706				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOX	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	Immature TEC	1257				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOX	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	mTEC lo	888				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOX	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	Aire+ mTEC hi	79				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOX	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	Corneocyte-like mTEC	56				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOX	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	Neuroendocrine	161				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOX	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	Myoid	104				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOX	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	Myelin+	19				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
LOX	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	cTEC hi	215				not_generated	not_generated	Target genes are absent from compact X but present in raw.X; detection summaries use raw.X > 0, while mean-value summaries are not generated because value semantics remain partial.
