output_id	file_path	dataset	analysis	role	status	authoritative	generated_by_script	input_dependencies	replaced_by	used_in_manuscript	used_in_figure	known_problem	recommended_action
OB11E5164	results/tables/gse231906_unit_ledger_v6.tsv	GSE231906	Phase 6A integrity gate	SENSITIVITY	CURRENT	YES	scripts/run_phase0_gse231906_integrity_gate.py	data/external/human_thymus/GSE231906/GSE231906_RAW.tar;data/external/human_thymus/GSE231906/GSE231906_cell-level_metadata.xlsx		NO	NO		retain
O1DE6F7FF	results/tables/gse231906_barcode_join_audit_v6.tsv	GSE231906	Phase 6A integrity gate	SENSITIVITY	CURRENT	YES	scripts/run_phase0_gse231906_integrity_gate.py	data/external/human_thymus/GSE231906/GSE231906_RAW.tar;data/external/human_thymus/GSE231906/GSE231906_cell-level_metadata.xlsx		NO	NO		retain
O03A6143B	results/tables/gse231906_barcode_join_failures_v6.tsv	GSE231906	Phase 6A integrity gate	SENSITIVITY	CURRENT	YES	scripts/run_phase0_gse231906_integrity_gate.py	data/external/human_thymus/GSE231906/GSE231906_RAW.tar;data/external/human_thymus/GSE231906/GSE231906_cell-level_metadata.xlsx		NO	NO		retain
O8F31A909	results/tables/gse231906_identity_mapping_v6.tsv	GSE231906	Phase 6A integrity gate	SENSITIVITY	CURRENT	YES	scripts/run_phase0_gse231906_integrity_gate.py	data/external/human_thymus/GSE231906/GSE231906_RAW.tar;data/external/human_thymus/GSE231906/GSE231906_cell-level_metadata.xlsx		NO	NO		retain
O9263861F	results/tables/gse231906_identity_summary_v6.tsv	GSE231906	Phase 6A integrity gate	SENSITIVITY	CURRENT	YES	scripts/run_phase0_gse231906_integrity_gate.py	data/external/human_thymus/GSE231906/GSE231906_RAW.tar;data/external/human_thymus/GSE231906/GSE231906_cell-level_metadata.xlsx		NO	NO		retain
O293ADA62	results/tables/gse231906_matrix_semantics_v6.tsv	GSE231906	Phase 6A integrity gate	SENSITIVITY	CURRENT	YES	scripts/run_phase0_gse231906_integrity_gate.py	data/external/human_thymus/GSE231906/GSE231906_RAW.tar;data/external/human_thymus/GSE231906/GSE231906_cell-level_metadata.xlsx		NO	NO		retain
OB669153B	results/tables/gse231906_loxfamily_detection_by_unit_sample_v6.tsv	GSE231906	Phase 6A integrity gate	PRIMARY	CURRENT	YES	scripts/run_phase0_gse231906_integrity_gate.py	data/external/human_thymus/GSE231906/GSE231906_RAW.tar;data/external/human_thymus/GSE231906/GSE231906_cell-level_metadata.xlsx		NO	NO		retain
O81258E69	reports/GSE231906_INTEGRITY_GATE_v6.md	GSE231906	Phase 6A integrity gate	PRIMARY	CURRENT	YES	scripts/run_phase0_gse231906_integrity_gate.py	data/external/human_thymus/GSE231906/GSE231906_RAW.tar;data/external/human_thymus/GSE231906/GSE231906_cell-level_metadata.xlsx		NO	NO		retain
ODAF2136F	results/tables/gse231906_loxfamily_mean_within_unit_descriptive_only_cross_unit_not_allowed_donor_inference_not_allowed_v6.tsv	GSE231906	Phase 6A integrity gate	SENSITIVITY	CURRENT	YES	scripts/run_phase0_gse231906_integrity_gate.py	data/external/human_thymus/GSE231906/GSE231906_RAW.tar;data/external/human_thymus/GSE231906/GSE231906_cell-level_metadata.xlsx		NO	NO		retain
O4A549A8A	results/tables/human_thymus_stage4_gse231906_lox_expression_by_donor_subtype.tsv	GSE231906	legacy GSE231906/cross-dataset	DEPRECATED	SEMANTICALLY_MISLABELED	NO	legacy scripts; see repository	legacy inputs	results/tables/gse231906_loxfamily_mean_within_unit_descriptive_only_cross_unit_not_allowed_donor_inference_not_allowed_v6.tsv	YES	NO	Detection columns only; no actual expression statistic; shared quantitative columns duplicate detection table.	do not use; replace only in a separately authorized future phase
O30C6B20C	results/tables/human_thymus_stage4_gse231906_lox_detection_by_donor_subtype.tsv	GSE231906	legacy GSE231906/cross-dataset	DEPRECATED	STALE	NO	legacy scripts; see repository	legacy inputs	results/tables/gse231906_loxfamily_detection_by_unit_sample_v6.tsv	YES	NO	Uses unit/donor labels interchangeably and suppresses ambiguous/duplicate join accounting.	do not use; replace only in a separately authorized future phase
OB5983DC7	results/tables/human_thymus_stage4_gse231906_target_gene_cell_metadata_join_summary.tsv	GSE231906	legacy GSE231906/cross-dataset	DEPRECATED	INCOMPLETE	NO	legacy scripts; see repository	legacy inputs	results/tables/gse231906_barcode_join_audit_v6.tsv	YES	NO	Reports any-match counts after arbitrary duplicate dropping; no ambiguity ledger.	do not use; replace only in a separately authorized future phase
O2771850D	results/tables/human_thymus_stage4_gse231906_join_pilot_summary.tsv	GSE231906	legacy GSE231906/cross-dataset	DEPRECATED	STALE	NO	legacy scripts; see repository	legacy inputs	results/tables/gse231906_barcode_join_audit_v6.tsv	YES	NO	One-unit 0.909477 pilot rate is not an all-unit rate.	do not use; replace only in a separately authorized future phase
O5AC0AFD2	results/tables/human_thymus_stage4_gse231906_aging_context_summary.tsv	GSE231906	legacy GSE231906/cross-dataset	DEPRECATED	STALE	NO	legacy scripts; see repository	legacy inputs	results/tables/gse231906_loxfamily_detection_by_unit_sample_v6.tsv	YES	NO	Built from pre-gate join and donor-label assumptions.	do not use; replace only in a separately authorized future phase
O9363D9B6	results/tables/human_thymus_stage4_gse231906_loxl2_mtec_like_summary.tsv	GSE231906	legacy GSE231906/cross-dataset	DEPRECATED	STALE	NO	legacy scripts; see repository	legacy inputs	results/tables/gse231906_loxfamily_detection_by_unit_sample_v6.tsv	YES	NO	Biological context predates integrity gate.	do not use; replace only in a separately authorized future phase
OD302BC49	results/tables/cross_dataset_lox_matrix.tsv	MULTI	legacy GSE231906/cross-dataset	DEPRECATED	STALE	NO	legacy scripts; see repository	legacy inputs	future Phase after integrity gate	YES	YES	GSE231906 rows say expression not parsed / metadata only.	do not use; replace only in a separately authorized future phase
O9B5C94A1	results/tables/cross_dataset_lox_validation_matrix.tsv	MULTI	legacy GSE231906/cross-dataset	DEPRECATED	STALE	NO	legacy scripts; see repository	legacy inputs	future Phase after integrity gate	YES	YES	GSE231906 synthesis is inconsistent with v5.6 parsing state.	do not use; replace only in a separately authorized future phase
OE6B9F98D	results/tables/external_gse223049_lox_validation.tsv	GSE223049	external context estimates	EXTERNAL_CONTEXT	CURRENT	YES	scripts/external_validation_gse223049_lox.py	data/external/GSE223049/GSE223049_RNA_seq_counts_23_cell_types.txt		YES	NO		retain
OBF6C9891	results/tables/external_gse223049_lox_validation_summary.tsv	GSE223049	external context summary v1	DEPRECATED	STALE	NO	scripts/external_validation_gse223049_lox.py	results/tables/external_gse223049_lox_validation.tsv	results/tables/external_gse223049_lox_validation_summary_v2.tsv	NO	NO	v1/v2 duplicate summary family	use summary v2 only
OBBB26EFF	results/tables/external_gse223049_lox_validation_summary_v2.tsv	GSE223049	external context summary v2	EXTERNAL_CONTEXT	CURRENT	YES	scripts/external_validation_gse223049_lox.py	results/tables/external_gse223049_lox_validation.tsv		YES	NO		retain
O1E960057	results/tables/lox_pseudobulk_complete_results.tsv	GSE240016	primary pseudobulk	PRIMARY	CURRENT	YES	scripts/make_pseudobulk_results_table.py	data/raw/GSE240016_CD45neg_thymic_stroma_d0+annotation.h5ad (22932 cells)		YES	YES		retain
O514F5331	results/tables/mtec1_loxl2_dropout_depth_audit.tsv	GSE240016	depth sensitivity	SENSITIVITY	CONFLICTING	NO	scripts/mtec1_loxl2_dropout_depth_audit.py	data/processed/thymus_annotated.h5ad (22877 cells)		NO	NO	Processed population has 55 fewer total cells and 2 fewer aged mTEC1 cells than primary raw object.	retain as sensitivity only; harmonize in a future authorized phase
O010A59F8	results/tables/mtec1_loxl2_matched_gene_falsification_all_genes.tsv	GSE240016	matched-gene sensitivity	SENSITIVITY	CONFLICTING	NO	scripts/mtec1_loxl2_matched_gene_falsification.py	processed 22877-cell object with raw fallback		NO	NO	Input-population drift relative to 22932-cell primary object.	retain as sensitivity only
O7DF5175D	results/figures/external_validation/gse223049/	GSE223049	untracked external figure duplicate directory	EXPLORATORY_ONLY	UNVERIFIED	NO	unknown/untracked	existing tables		NO	NO	Pre-existing untracked figures duplicate tracked external figures.	do not treat as authoritative
O6F96A744	results/figures/external_validation/emtab8560/	E-MTAB-8560	untracked external figure duplicate directory	EXPLORATORY_ONLY	UNVERIFIED	NO	unknown/untracked	existing tables		NO	NO	Pre-existing untracked figures duplicate tracked external figures.	do not treat as authoritative
O8B9C8572	results/tables/mtec1_loxl2_downsampling_iterations.tsv	GSE240016	untracked downsampling iterations	SENSITIVITY	UNVERIFIED	NO	scripts/mtec1_loxl2_dropout_depth_audit.py	processed 22877-cell object		NO	NO	Pre-existing untracked output outside release authority.	retain untracked; verify before future use
O08B4899F	results/figures/annotation_sanity/	MULTI	manuscript-cited legacy output	UNCLASSIFIED	UNVERIFIED	NO				YES	NO	Citation alone does not establish lineage or authority.	map exact generator/dependencies before future release use
O356936D8	results/figures/annotation_sanity/marker_expression_long.tsv	MULTI	manuscript-cited legacy output with repository-mapped lineage	SENSITIVITY	LINEAGE_MAPPED	NO	scripts/annotation_uncertainty_check.py	data/raw/GSE240016_CD45neg_thymic_stroma_d0+annotation.h5ad		YES	NO	Lineage is mapped, but citation does not confer authority.	retain non-authoritative unless separately reviewed
OBCB764E0	results/figures/annotation_sanity/marker_summary_by_sample.tsv	MULTI	manuscript-cited legacy output with repository-mapped lineage	SENSITIVITY	LINEAGE_MAPPED	NO	scripts/annotation_uncertainty_check.py	data/raw/GSE240016_CD45neg_thymic_stroma_d0+annotation.h5ad		YES	NO	Lineage is mapped, but citation does not confer authority.	retain non-authoritative unless separately reviewed
OD769B26F	results/figures/annotation_sanity/strict_marker_positive_lox_age_summary.tsv	MULTI	manuscript-cited legacy output with repository-mapped lineage	SENSITIVITY	LINEAGE_MAPPED	NO	scripts/annotation_uncertainty_check.py	data/raw/GSE240016_CD45neg_thymic_stroma_d0+annotation.h5ad		YES	NO	Lineage is mapped, but citation does not confer authority.	retain non-authoritative unless separately reviewed
O6DF305C0	results/figures/annotation_sanity/strict_marker_positive_lox_by_sample.tsv	MULTI	manuscript-cited legacy output with repository-mapped lineage	SENSITIVITY	LINEAGE_MAPPED	NO	scripts/annotation_uncertainty_check.py	data/raw/GSE240016_CD45neg_thymic_stroma_d0+annotation.h5ad		YES	NO	Lineage is mapped, but citation does not confer authority.	retain non-authoritative unless separately reviewed
O7D5776E2	results/figures/annotation_sanity/strict_marker_positive_lox_summary.png	MULTI	manuscript-cited legacy output with repository-mapped lineage	SENSITIVITY_FIGURE	LINEAGE_MAPPED	NO	scripts/annotation_uncertainty_check.py	data/raw/GSE240016_CD45neg_thymic_stroma_d0+annotation.h5ad		YES	NO	Lineage is mapped, but citation does not confer authority.	retain non-authoritative unless separately reviewed
OD7D3FCC2	results/figures/external_validation/cross_dataset/	MULTI	manuscript-cited legacy output	UNCLASSIFIED	UNVERIFIED	NO				YES	NO	Citation alone does not establish lineage or authority.	map exact generator/dependencies before future release use
O02DCA3A8	results/figures/external_validation/cross_dataset/cross_dataset_lox_claim_consistency.pdf	MULTI	manuscript-cited legacy output	UNCLASSIFIED	UNVERIFIED	NO				YES	NO	Citation alone does not establish lineage or authority.	map exact generator/dependencies before future release use
OCBBF6AD2	results/figures/external_validation/cross_dataset/cross_dataset_lox_direction_heatmap.pdf	MULTI	manuscript-cited legacy output	UNCLASSIFIED	UNVERIFIED	NO				YES	NO	Citation alone does not establish lineage or authority.	map exact generator/dependencies before future release use
O1C4B96EF	results/figures/external_validation/cross_dataset/cross_dataset_lox_external_effect_points.pdf	MULTI	manuscript-cited legacy output	UNCLASSIFIED	UNVERIFIED	NO				YES	NO	Citation alone does not establish lineage or authority.	map exact generator/dependencies before future release use
O3BE0D11D	results/figures/final/	MULTI	manuscript-cited legacy output	UNCLASSIFIED	UNVERIFIED	NO				YES	NO	Citation alone does not establish lineage or authority.	map exact generator/dependencies before future release use
O9BBD2EDA	results/figures/final/Fig1_pseudobulk_volcano_final.pdf	MULTI	manuscript-cited legacy output with repository-mapped lineage	PRIMARY_FIGURE	LINEAGE_MAPPED	NO	scripts/figures/plot_final_volcano.py	results/tables/lox_pseudobulk_complete_results.csv		YES	NO	Lineage is mapped, but citation does not confer authority.	retain non-authoritative unless separately reviewed
OD92B6B7A	results/figures/final/Fig1_pseudobulk_volcano_final.png	MULTI	manuscript-cited legacy output with repository-mapped lineage	PRIMARY_FIGURE	LINEAGE_MAPPED	NO	scripts/figures/plot_final_volcano.py	results/tables/lox_pseudobulk_complete_results.csv		YES	NO	Lineage is mapped, but citation does not confer authority.	retain non-authoritative unless separately reviewed
O8F382211	results/figures/final/Fig2_summary_4panel_final.pdf	MULTI	manuscript-cited legacy output with repository-mapped lineage	SUMMARY_FIGURE	LINEAGE_MAPPED	NO	scripts/figures/plot_final_summary.py	results/tables/lox_pseudobulk_complete_results.csv;results/sc_spearman_correlations.csv;results/sc_mannwhitney_FB_combined.csv;results/sc_mannwhitney_mTEC1.csv		YES	NO	Lineage is mapped, but citation does not confer authority.	retain non-authoritative unless separately reviewed
OF6B0CCCB	results/figures/final/Fig2_summary_4panel_final.png	MULTI	manuscript-cited legacy output with repository-mapped lineage	SUMMARY_FIGURE	LINEAGE_MAPPED	NO	scripts/figures/plot_final_summary.py	results/tables/lox_pseudobulk_complete_results.csv;results/sc_spearman_correlations.csv;results/sc_mannwhitney_FB_combined.csv;results/sc_mannwhitney_mTEC1.csv		YES	NO	Lineage is mapped, but citation does not confer authority.	retain non-authoritative unless separately reviewed
O8838C80C	results/figures/per_sample/lox_per_sample_pseudobulk_expression.pdf	MULTI	manuscript-cited legacy output with repository-mapped lineage	DESCRIPTIVE_FIGURE	LINEAGE_MAPPED	NO	scripts/plot_per_sample_lox_expression.py	data/raw/GSE240016_CD45neg_thymic_stroma_d0+annotation.h5ad;results/tables/lox_pseudobulk_complete_results.csv		YES	NO	Lineage is mapped, but citation does not confer authority.	retain non-authoritative unless separately reviewed
OC1D775FC	results/figures/per_sample/mtec1_loxl2_per_sample.pdf	MULTI	manuscript-cited legacy output	UNCLASSIFIED	UNVERIFIED	NO				YES	NO	Citation alone does not establish lineage or authority.	map exact generator/dependencies before future release use
O62894789	results/magic_imputation_LOX.csv	MULTI	manuscript-cited legacy output with repository-mapped lineage	EXPLORATORY_ONLY	LINEAGE_MAPPED	NO	scripts/magic_imputation_lox.py	data/raw/GSE240016_CD45neg_thymic_stroma_d0+annotation.h5ad		YES	NO	Lineage is mapped, but citation does not confer authority.	retain non-authoritative unless separately reviewed
OFBC07B50	results/sc_mannwhitney_FB_combined.csv	MULTI	manuscript-cited legacy output with repository-mapped lineage	EXPLORATORY_ONLY	LINEAGE_MAPPED	NO	scripts/generate_single_cell_tests.py	data/processed/thymus_annotated.h5ad		YES	NO	Lineage is mapped, but citation does not confer authority.	retain non-authoritative unless separately reviewed
O3F656251	results/sc_mannwhitney_mTEC1.csv	MULTI	manuscript-cited legacy output with repository-mapped lineage	EXPLORATORY_ONLY	LINEAGE_MAPPED	NO	scripts/generate_single_cell_tests.py	data/processed/thymus_annotated.h5ad		YES	NO	Lineage is mapped, but citation does not confer authority.	retain non-authoritative unless separately reviewed
O5990A862	results/sc_spearman_correlations.csv	MULTI	manuscript-cited legacy output with repository-mapped lineage	EXPLORATORY_ONLY	LINEAGE_MAPPED	NO	scripts/generate_spearman_correlations.py	data/processed/thymus_annotated.h5ad		YES	NO	Lineage is mapped, but citation does not confer authority.	retain non-authoritative unless separately reviewed
OA74F7B34	results/tables/cross_dataset_lox_consistency_summary.tsv	MULTI	manuscript-cited legacy output with repository-mapped lineage	CROSS_DATASET_CONTEXT	LINEAGE_MAPPED	NO	scripts/build_cross_dataset_lox_matrix.py	results/tables/lox_pseudobulk_complete_results.tsv;results/tables/external_gse223049_lox_validation.tsv;results/tables/external_emtab8560_tec_lox_summary.tsv;results/tables/external_gse231906_human_lox_summary.tsv		YES	NO	Lineage is mapped, but citation does not confer authority.	retain non-authoritative unless separately reviewed
O38773640	results/tables/external_emtab8560_mtec_lox_global_fdr.tsv	MULTI	manuscript-cited legacy output with repository-mapped lineage	EXTERNAL_CONTEXT	LINEAGE_MAPPED	NO	scripts/external_validation_emtab8560_mtec_lox_reanalysis.py	results/tables/external_emtab8560_cell_metadata_verified.tsv;data/external/metadata/emtab8560/emtab8560_lox_counts_long.tsv		YES	NO	Lineage is mapped, but citation does not confer authority.	retain non-authoritative unless separately reviewed
OE3B85F1C	results/tables/external_emtab8560_mtec_lox_models.tsv	MULTI	manuscript-cited legacy output with repository-mapped lineage	EXTERNAL_CONTEXT	LINEAGE_MAPPED	NO	scripts/external_validation_emtab8560_mtec_lox_reanalysis.py	results/tables/external_emtab8560_cell_metadata_verified.tsv;data/external/metadata/emtab8560/emtab8560_lox_counts_long.tsv		YES	NO	Lineage is mapped, but citation does not confer authority.	retain non-authoritative unless separately reviewed
O5AA97F80	results/tables/external_emtab8560_mtec_lox_permutation.tsv	MULTI	manuscript-cited legacy output with repository-mapped lineage	EXTERNAL_CONTEXT	LINEAGE_MAPPED	NO	scripts/external_validation_emtab8560_mtec_lox_reanalysis.py	results/tables/external_emtab8560_cell_metadata_verified.tsv;data/external/metadata/emtab8560/emtab8560_lox_counts_long.tsv		YES	NO	Lineage is mapped, but citation does not confer authority.	retain non-authoritative unless separately reviewed
O23387DEF	results/tables/external_emtab8560_tec_lox_by_age.tsv	MULTI	manuscript-cited legacy output with repository-mapped lineage	EXTERNAL_CONTEXT	LINEAGE_MAPPED	NO	scripts/external_validation_emtab8560_tec_lox.py	data/external/E-MTAB-8560/experimenthub_smartseq_rds		YES	NO	Lineage is mapped, but citation does not confer authority.	retain non-authoritative unless separately reviewed
O04AB85E0	results/tables/external_emtab8560_tec_lox_summary.tsv	MULTI	manuscript-cited legacy output with repository-mapped lineage	EXTERNAL_CONTEXT	LINEAGE_MAPPED	NO	scripts/external_validation_emtab8560_tec_lox.py	data/external/E-MTAB-8560/experimenthub_smartseq_rds		YES	NO	Lineage is mapped, but citation does not confer authority.	retain non-authoritative unless separately reviewed
O9991B83B	results/tables/external_gse231906_human_lox_summary.tsv	MULTI	manuscript-cited legacy output with repository-mapped lineage	EXTERNAL_CONTEXT	LINEAGE_MAPPED	NO	scripts/external_validation_gse231906_human_lox.py	data/external/GSE231906/GSE231906_RAW.tar;data/external/GSE231906/GSE231906_cell-level_metadata.xlsx		YES	NO	Lineage is mapped, but citation does not confer authority.	retain non-authoritative unless separately reviewed
O3C99DB4D	results/tables/fb_composition_adjusted_lox.tsv	MULTI	manuscript-cited legacy output with repository-mapped lineage	SENSITIVITY	LINEAGE_MAPPED	NO	scripts/fb_composition_adjusted_lox.py	data/raw/GSE240016_CD45neg_thymic_stroma_d0+annotation.h5ad;results/tables/lox_pseudobulk_complete_results.csv		YES	NO	Lineage is mapped, but citation does not confer authority.	retain non-authoritative unless separately reviewed
O5C155259	results/tables/human_thymus_stage4_gse231906_*	MULTI	manuscript-cited legacy output	UNCLASSIFIED	UNVERIFIED	NO				YES	NO	Citation alone does not establish lineage or authority.	map exact generator/dependencies before future release use
OECFA8386	results/tables/lox_detection_rates_by_sample.tsv	MULTI	manuscript-cited legacy output with repository-mapped lineage	DESCRIPTIVE	LINEAGE_MAPPED	NO	scripts/lox_detection_rates_by_sample.py	data/raw/GSE240016_CD45neg_thymic_stroma_d0+annotation.h5ad		YES	NO	Lineage is mapped, but citation does not confer authority.	retain non-authoritative unless separately reviewed
O29DE1A5A	results/tables/lox_pseudobulk_complete_results.csv	MULTI	manuscript-cited legacy output with repository-mapped lineage	PRIMARY	LINEAGE_MAPPED	NO	scripts/make_pseudobulk_results_table.py	data/raw/GSE240016_CD45neg_thymic_stroma_d0+annotation.h5ad		YES	NO	Lineage is mapped, but citation does not confer authority.	retain non-authoritative unless separately reviewed
OEC6215FA	results/tables/loxl2_ihc_antibody_feasibility.tsv	MULTI	manuscript-cited legacy output	UNCLASSIFIED	UNVERIFIED	NO				YES	NO	Citation alone does not establish lineage or authority.	map exact generator/dependencies before future release use
O1F5D491F	results/tables/loxl2_protein_spatial_evidence_audit.tsv	MULTI	manuscript-cited legacy output	UNCLASSIFIED	UNVERIFIED	NO				YES	NO	Citation alone does not establish lineage or authority.	map exact generator/dependencies before future release use
OE7E95FCF	results/tables/mtec1_loxl2_depth_adjusted_logistic.tsv	MULTI	manuscript-cited legacy output with repository-mapped lineage	SENSITIVITY	LINEAGE_MAPPED	NO	scripts/mtec1_loxl2_dropout_depth_audit.py	data/processed/thymus_annotated.h5ad		YES	NO	Lineage is mapped, but citation does not confer authority.	retain non-authoritative unless separately reviewed
