claim_id	claim_text	claim_scope	dataset	gene	compartment	age_contrast	biological_n	statistical_unit	primary_or_secondary	supporting_scripts	supporting_outputs	internal_sensitivity	external_context	exact_replication	known_limitations	evidence_grade	internal_evidence_grade	external_replication_grade	allowed_wording	forbidden_wording	status
C001	Subtype-dependent LOX-family transcript changes	GSE240016 annotated murine stromal subtypes	GSE240016	LOX family	capsFB;medFB;mTEC1	18 mo vs 2 mo	FB n=3+3; mTEC1 n=2+2	mouse/sample pseudobulk	PRIMARY	scripts/make_pseudobulk_results_table.py	results/tables/lox_pseudobulk_complete_results.tsv	available	broad/related only	NO	Subtype association; no mechanism/protein	A	STRONG_INTERNAL_ASSOCIATION	RELATED_CONTEXT_ONLY	Subtype-dependent transcript associations in analyzed annotations	validated;causal;mechanistic	SUPPORTED_WITH_LIMITATIONS
C002	capsFB Lox aged-lower	focal internal	GSE240016	Lox	capsFB	18 mo vs 2 mo	3+3 mice	mouse/sample pseudobulk	PRIMARY	scripts/make_pseudobulk_results_table.py	results/tables/lox_pseudobulk_complete_results.tsv	available	broad/related only	NO	No exact external subtype	A	STRONG_INTERNAL_ASSOCIATION	NO_EXACT_REPLICATION	capsFB Lox was aged-lower in GSE240016	conserved;mechanistic	SUPPORTED_WITH_LIMITATIONS
C003	medFB Loxl1 aged-higher	focal internal	GSE240016	Loxl1	medFB	18 mo vs 2 mo	3+3 mice	mouse/sample pseudobulk	PRIMARY	scripts/make_pseudobulk_results_table.py	results/tables/lox_pseudobulk_complete_results.tsv	available	broad/related only	NO	Broad GSE223049 does not support exact subtype	B	INTERNAL_ASSOCIATION	NO_EXACT_REPLICATION	medFB Loxl1 was aged-higher in GSE240016	externally validated	SUPPORTED_WITH_LIMITATIONS
C004	medFB Loxl2 aged-lower	focal internal	GSE240016	Loxl2	medFB	18 mo vs 2 mo	3+3 mice	mouse/sample pseudobulk	PRIMARY	scripts/make_pseudobulk_results_table.py	results/tables/lox_pseudobulk_complete_results.tsv	available	broad/related only	NO	Broad external direction only	A-	STRONG_INTERNAL_ASSOCIATION	RELATED_DIRECTIONAL_CONTEXT_ONLY	medFB Loxl2 was aged-lower in GSE240016	exactly replicated	SUPPORTED_WITH_LIMITATIONS
C005	mTEC1 Loxl2 aged-lower	fragile focal internal	GSE240016	Loxl2	mTEC1	18 mo vs 2 mo	2+2 mice	mouse/sample pseudobulk	PRIMARY	scripts/make_pseudobulk_results_table.py	results/tables/lox_pseudobulk_complete_results.tsv	available	broad/related only	NO	n=2+2; sparse; depth/batch unresolved; exact permutation nonsignificant	C	LIMITED_CANDIDATE_LEVEL_EVIDENCE	NO_EXACT_REPLICATION	candidate aged-lower mTEC1 Loxl2 pattern	robust;validated;definitive	SUPPORTED_WITH_LIMITATIONS
C006	Marker-positive direction preservation	internal overlapping-cell sensitivity	GSE240016	four focal genes	marker-positive subtype subsets	18 mo vs 2 mo	same samples/cells	sample summaries	PRIMARY	scripts/annotation_uncertainty_check.py	results/figures/annotation_sanity/strict_marker_positive_lox_age_summary.tsv	available	broad/related only	NO	Not independent confirmation	B	INTERNAL_SENSITIVITY_ONLY	NOT_APPLICABLE	directions were preserved in marker-positive sensitivity subsets	replicated	SUPPORTED_WITH_LIMITATIONS
C007	Dropout/depth contribution partial-unresolved	internal sensitivity	GSE240016	Loxl2	mTEC1	18 mo vs 2 mo	2+2 mice	sample plus descriptive cells	PRIMARY	scripts/mtec1_loxl2_dropout_depth_audit.py	results/tables/mtec1_loxl2_dropout_depth_audit.tsv	available	broad/related only	NO	Processed/raw population drift	B	LIMITED_INTERNAL_SENSITIVITY	NOT_APPLICABLE	dropout/depth artifact risk remains partial/unresolved	artifact excluded	SUPPORTED_WITH_LIMITATIONS
C008	GSE223049 broad directional context	broad external context	GSE223049	Lox;Loxl2	sorted fibroblast;epithelium	22-24 mo vs 2 mo	FB 4+4; Epi 5+5	mouse	SECONDARY	scripts/external_validation_gse223049_lox.py	results/tables/external_gse223049_lox_validation.tsv;results/tables/external_gse223049_lox_validation_summary_v2.tsv	available	broad/related only	NO	Broad bulk only	B	NOT_APPLICABLE	BROAD_CONTEXT_ONLY	broad directional context	subtype validation;exact replication	SUPPORTED_WITH_LIMITATIONS
C009	E-MTAB-8560 mTEC-focused context	related-compartment external context	E-MTAB-8560	Loxl2	mTEClo;mTEChi;cTEC	52 wk vs 1 wk	per-mouse aggregation	mouse	SECONDARY	scripts/external_validation_emtab8560_mtec_lox_reanalysis.py	results/tables/external_emtab8560_mtec_lox_by_age.tsv	available	broad/related only	NO	Mixed/inconclusive; no exact mTEC1	B-	NOT_APPLICABLE	RELATED_COMPARTMENT_CONTEXT_ONLY	mTEC-focused related-compartment context	exact mTEC1 replication	SUPPORTED_WITH_LIMITATIONS
C010	GSE231906 detection feasibility	resolved joined barcodes within sample units	GSE231906	LOX family	Epi;mTEC-like;cTEC-like;post-AIRE mTEC;immature TEC;mesenchymal/fibroblast-like;endothelial	cross-sectional ages; no model	59 units; 47 probable persons; 0 high-confidence persons	sample/library unit	SECONDARY	scripts/run_phase0_gse231906_integrity_gate.py	results/tables/gse231906_loxfamily_detection_by_unit_sample_v6.tsv	available	broad/related only	NO	Incomplete joins and provisional person identity	C	SAMPLE_UNIT_DETECTION_CONTEXT_ONLY	NOT_REPLICATION	detection is technically evaluable among uniquely joined barcodes by sample unit	donor-level aging;complete coverage;validation	SUPPORTED_WITH_LIMITATIONS
