release_path	classification	public_role	scientific_scope	source_path	source_authority	generation_method	size_bytes	sha256	inclusion_reason
checksums/SHA256SUMS.txt	CHECKSUM	checksum index	public package documentation	final assembly	final assembly	generated after finalization; self omitted	SELF_REFERENTIAL	SELF_OMITTED	Verifies all non-self assets
CITATION.cff	RELEASE_METADATA	release metadata	public package documentation	repository-relative provenance	final assembly	copied, authored, or rendered without scientific recomputation	543	8d7fa0ede63a8549f382ff622f1f98d6ba53f78df181f89ecad53d82043b82b9	Required to understand, inspect, or reuse the frozen v6 package
figures/figure_1_focal_effects.pdf	FIGURE	publication figure	frozen transcript-level visual summary	results/figures/v6_final/figure_1_focal_effects.pdf	frozen authoritative tables	presentation-only assembly without scientific recomputation	238129	1bf7d1efccb64b72261f16678019dcb7ff94b6bd8ae86b874908cf0541cef594	Reader-facing visualization of frozen accepted outputs
figures/figure_1_focal_effects.png	FIGURE	publication figure	frozen transcript-level visual summary	results/figures/v6_final/figure_1_focal_effects.png	frozen authoritative tables	presentation-only assembly without scientific recomputation	111464	bb2d137ed02122017cf0263bcd17a86435d3f80bcfdb6325eea0196160c798bc	Reader-facing visualization of frozen accepted outputs
figures/figure_2_mtec1_loxl2_sample_context.pdf	FIGURE	publication figure	frozen transcript-level visual summary	results/figures/v6_final/figure_2_mtec1_loxl2_sample_context.pdf	frozen authoritative tables	presentation-only assembly without scientific recomputation	301908	3c6ea5d8b43cbde83218e08d365c2ebe3c425312eacd5fe265f262d8eeab269c	Reader-facing visualization of frozen accepted outputs
figures/figure_2_mtec1_loxl2_sample_context.png	FIGURE	publication figure	frozen transcript-level visual summary	results/figures/v6_final/figure_2_mtec1_loxl2_sample_context.png	frozen authoritative tables	presentation-only assembly without scientific recomputation	145890	6984561eb080a7bc39380d65266223b7b0cb2e5e7209c5ab262690b072674dba	Reader-facing visualization of frozen accepted outputs
figures/figure_3_external_evidence_context.pdf	FIGURE	publication figure	frozen transcript-level visual summary	results/figures/v6_final/figure_3_external_evidence_context.pdf	frozen authoritative tables	presentation-only assembly without scientific recomputation	461247	5ea4bbc0a954b86880946c09f36181e25a02a1cb84584179035b45672c1c7772	Reader-facing visualization of frozen accepted outputs
figures/figure_3_external_evidence_context.png	FIGURE	publication figure	frozen transcript-level visual summary	results/figures/v6_final/figure_3_external_evidence_context.png	frozen authoritative tables	presentation-only assembly without scientific recomputation	211393	c10afa7aa4eb25e702ad1270b88214a628074ff19ac5f6f92d0f34fd09549a9b	Reader-facing visualization of frozen accepted outputs
governance/claim_registry_v6.tsv	GOVERNANCE	scope and authority	public package documentation	repository-relative provenance	v6 authority	copied, authored, or rendered without scientific recomputation	7183	0d3e589e5d699c3df90d98084bf2fc25342186c0802c22e9dc747ade25bff53b	Required to understand, inspect, or reuse the frozen v6 package
governance/datasets_v6.tsv	GOVERNANCE	scope and authority	public package documentation	repository-relative provenance	v6 authority	copied, authored, or rendered without scientific recomputation	3440	b655728433089db74f108056617bfd44e3fafb90d849cda11857955ac52acc14	Required to understand, inspect, or reuse the frozen v6 package
governance/gse231906_historical_authority_map_v6.tsv	GOVERNANCE	scope and authority	detection context only	repository-relative provenance	v6 authority	copied, authored, or rendered without scientific recomputation	16747	cbd7dcddaf698663af8194a6eb0a7bbc7e1e858e486110bb32f6cf7d2cb6bcbe	Required to understand, inspect, or reuse the frozen v6 package
governance/input_files_v6.tsv	GOVERNANCE	scope and authority	public package documentation	repository-relative provenance	v6 authority	copied, authored, or rendered without scientific recomputation	8736	d841f5ccdc4a4d5ae0d3df253a0f22eeb4a7a9ad47ea49942e1204a8b5f1d0d7	Required to understand, inspect, or reuse the frozen v6 package
governance/output_authority_v6.tsv	GOVERNANCE	scope and authority	public package documentation	repository-relative provenance	v6 authority	copied, authored, or rendered without scientific recomputation	22674	f42ae2c11047e9bfd61bd401b6800a779d9a499897719a150261c85abc993787	Required to understand, inspect, or reuse the frozen v6 package
governance/RELEASE_AUTHORITY.md	GOVERNANCE	scope and authority	public package documentation	repository-relative provenance	v6 authority	copied, authored, or rendered without scientific recomputation	6801	cd8b499c1bba7bc0e4480223ac68784bdbe53c793cc61ed7eb915b4eb5426061	Required to understand, inspect, or reuse the frozen v6 package
