audit_item	finding	status	evidence
cached_RDS_files_used	data/external/E-MTAB-8560/experimenthub_smartseq_rds/rowdata.rds; data/external/E-MTAB-8560/experimenthub_smartseq_rds/coldata-day1.rds through coldata-day5.rds; data/external/E-MTAB-8560/experimenthub_smartseq_rds/counts-processed-day1.rds through counts-processed-day5.rds	verified_from_files	Existing fallback loader reads rowdata once and paired count/colData files for day 1 to day 5.
object_structure_parsed	rowdata and coldata parse as Bioconductor DFrame-like objects via rdata; counts-processed-day*.rds parse as pandas DataFrame objects via pyreadr with genes as rows and cells as columns	verified_from_direct_inspection	rowdata fields include Geneid, Chr, Start, End, Strand, Length. coldata fields include CellID, ClusterID, Position, PlateID, Column, Row, SortType, SortDay, Age, SubType, sizeFactor.
assay_or_layer_used	counts-processed-day*.rds; treated by the existing script as count-like values and converted to CPM from per-cell column sums	assay_layer_uncertain	File name is counts-processed rather than raw counts, logcounts, or named normalized assay. No R SingleCellExperiment assay metadata was available from the Python fallback.
normalization_used_by_current_summary	Per-cell library sums were calculated from counts-processed matrices; sample-proxy pseudobulk CPM was computed from summed Loxl2 values divided by summed matrix column totals.	verified_current_code	This is not an R-exported assay with confirmed assay name.
cell_identity_column	SortType and SubType	verified_from_coldata	SortType labels: cTEC, gmTEC, mTEChi, mTEClo. SubType labels include Mature cTEC, Mature mTEC, Post-Aire mTEC, Tuft-like mTEC, and others.
TEC_subtype_column	SortType for cTEC, mTEClo, mTEChi, gmTEC; SubType for post-Aire and broad mTEC-like labels	verified_from_current_code	Group definitions in the fallback script use SortType and SubType string matching.
age_column	Age parsed to age_week	verified_from_coldata	Available age weeks: 1, 4, 16, 32, 52.
biological_mouse_or_sample_column	No true mouse/donor/sample column verified. Current sample_id is derived as sort_day_<SortDay>.	not_verified	Parsed colData lacks an obvious mouse ID, donor ID, biological replicate ID, or run-level sample accession.
batch_dataset_run_columns	PlateID and SortDay are present; no sequencing run/accession/batch field was verified in the parsed fallback metadata.	partial	PlateID appears cell-level/plate-level. SortDay is used as sample proxy but cannot be confirmed as biological sample.
true_biological_aggregation	No; true biological mouse/sample aggregation was not verified.	not_verified	Current results aggregate by SortDay within age and group, not by a confirmed animal identifier.
sample_proxy_meaning	Sample-proxy means one SortDay-derived stratum within an age group, used as a surrogate sample because no donor-level field was exposed by Python-parsed colData.	verified_current_code	The script assigns sample_id = "sort_day_" + SortDay and warns that donor-level metadata was unavailable.
biological_animals_per_age_group	Unknown; not recoverable from parsed cached metadata.	not_verified	Sample-proxy counts are usually 5 per age, but these are not confirmed animals.
sample_proxies_per_age_by_group	broad_TEC 1:5;4:5;16:5;32:5;52:5 | mTEC_like 1:5;4:5;16:5;32:5;52:5 | mTEClo 1:5;4:5;16:5;32:5;52:4 | mTEChi 1:5;4:5;16:5;32:5;52:5 | post_Aire_mTEC 1:4;4:5;16:5;32:5;52:4 | cTEC 1:5;4:5;16:5;32:5;52:5	descriptive_only	Counts come from results/tables/external_baran_gale_lox_by_sample.tsv for Loxl2 sample-proxy rows.
cells_treated_as_independent_replicates_for_primary_summary	No for the summary tables; cells are summed/averaged into SortDay-derived sample-proxy summaries before trend summaries.	verified_current_code	The current by-sample table has one row per analysis_group/gene/age_week/sample_id.
cell_level_pseudoreplication_dependency	Current descriptive trend does not require cell-level p-values, but inferential p-values over SortDay sample proxies are not valid biological-sample p-values because sample identity is uncertain.	partial	The existing model table contains p-values, but this audit downgrades them to descriptive only.
suitability_exact_validation	Not suitable.	classification	Sample identity and assay/layer are not fully verified.
suitability_subtype_specific_confirmation	Not suitable.	classification	Baran-Gale labels are TEC/mTEC-like and not one-to-one with GSE240016 mTEC1.
suitability_broad_directional_context	Suitable only as broad TEC/mTEC-like directional context.	classification	Direction is aged-lower for broad_TEC, mTEC_like, mTEClo, mTEChi, and cTEC using sample proxies.
suitability_feasibility_provisional_context	Suitable as feasibility/provisional context.	classification	R-based export and per-animal metadata verification remain unresolved.
final_classification	provisional directional context: sample identity uncertain	classification	This is the primary Baran-Gale methodological classification for v5.4.
